mode=full seed=0 output_dir=runs/baseline-20260718T074451Z/full-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mpe2znwl
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_140711-mpe2znwl
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run full-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mpe2znwl
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: full-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/full-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.941801
step:1/4768 | loss 10.938012 | lr:7.03125e-06 | train_time:41.65s | step:41650.93ms
step:2/4768 | loss 10.795972 | lr:1.40625e-05 | train_time:45.69s | step:4034.63ms
step:3/4768 | loss 10.551970 | lr:2.10938e-05 | train_time:49.73s | step:4043.06ms
step:4/4768 | loss 10.273037 | lr:2.8125e-05 | train_time:53.78s | step:4049.66ms
step:5/4768 | loss 10.066982 | lr:3.51562e-05 | train_time:57.84s | step:4063.98ms
step:6/4768 | loss 9.869347 | lr:4.21875e-05 | train_time:61.91s | step:4066.50ms
step:7/4768 | loss 9.761962 | lr:4.92188e-05 | train_time:65.97s | step:4060.74ms
step:8/4768 | loss 9.625378 | lr:5.625e-05 | train_time:70.05s | step:4084.81ms
step:9/4768 | loss 9.595987 | lr:6.32812e-05 | train_time:74.13s | step:4075.30ms
step:10/4768 | loss 9.480610 | lr:7.03125e-05 | train_time:78.23s | step:4102.28ms
step:11/4768 | loss 9.445486 | lr:7.73437e-05 | train_time:82.33s | step:4096.66ms
step:12/4768 | loss 9.384958 | lr:8.4375e-05 | train_time:86.43s | step:4104.26ms
step:13/4768 | loss 9.296103 | lr:9.14063e-05 | train_time:90.55s | step:4116.38ms
step:14/4768 | loss 9.189816 | lr:9.84375e-05 | train_time:94.67s | step:4116.43ms
step:15/4768 | loss 9.134589 | lr:0.000105469 | train_time:98.77s | step:4104.96ms
step:16/4768 | loss 9.035429 | lr:0.0001125 | train_time:102.88s | step:4113.00ms
step:17/4768 | loss 8.950693 | lr:0.000119531 | train_time:106.99s | step:4111.28ms
step:18/4768 | loss 8.857003 | lr:0.000126562 | train_time:111.12s | step:4128.25ms
step:19/4768 | loss 8.799398 | lr:0.000133594 | train_time:115.25s | step:4127.37ms
step:20/4768 | loss 8.654882 | lr:0.000140625 | train_time:119.38s | step:4133.03ms
step:21/4768 | loss 8.575380 | lr:0.000147656 | train_time:123.51s | step:4129.45ms
step:22/4768 | loss 8.496876 | lr:0.000154687 | train_time:127.62s | step:4111.44ms
step:23/4768 | loss 8.334738 | lr:0.000161719 | train_time:131.75s | step:4125.59ms
step:24/4768 | loss 8.281739 | lr:0.00016875 | train_time:135.88s | step:4131.18ms
step:25/4768 | loss 8.155784 | lr:0.000175781 | train_time:140.01s | step:4129.06ms
step:26/4768 | loss 8.102148 | lr:0.000182813 | train_time:144.13s | step:4123.80ms
step:27/4768 | loss 8.014194 | lr:0.000189844 | train_time:148.27s | step:4133.76ms
step:28/4768 | loss 7.888134 | lr:0.000196875 | train_time:152.39s | step:4126.98ms
step:29/4768 | loss 7.860123 | lr:0.000203906 | train_time:156.51s | step:4116.58ms
step:30/4768 | loss 7.794868 | lr:0.000210937 | train_time:160.64s | step:4133.25ms
