mode=proxy seed=0 output_dir=runs/baseline-20260718T074451Z/proxy-seed-0
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0ty30mlf
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_074458-0ty30mlf
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-0
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/0ty30mlf
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-0 | seed: 0 | output: runs/baseline-20260718T074451Z/proxy-seed-0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
/venv/main/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:322: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
step:0/1788 | val loss 10.941801
step:1/1788 | loss 10.938004 | lr:1.875e-05 | train_time:67.50s | step:67500.62ms
step:2/1788 | loss 10.581224 | lr:3.75e-05 | train_time:71.51s | step:4005.01ms
step:3/1788 | loss 10.176695 | lr:5.625e-05 | train_time:75.51s | step:4004.43ms
step:4/1788 | loss 9.871005 | lr:7.5e-05 | train_time:79.51s | step:4004.86ms
step:5/1788 | loss 9.698870 | lr:9.375e-05 | train_time:83.52s | step:4005.43ms
step:6/1788 | loss 9.538945 | lr:0.0001125 | train_time:87.53s | step:4009.99ms
step:7/1788 | loss 9.462095 | lr:0.00013125 | train_time:91.54s | step:4009.93ms
step:8/1788 | loss 9.307628 | lr:0.00015 | train_time:95.55s | step:4008.81ms
step:9/1788 | loss 9.264868 | lr:0.00016875 | train_time:99.56s | step:4010.79ms
step:10/1788 | loss 9.072429 | lr:0.0001875 | train_time:103.57s | step:4010.59ms
step:11/1788 | loss 8.971717 | lr:0.00020625 | train_time:107.58s | step:4010.42ms
step:12/1788 | loss 8.818470 | lr:0.000225 | train_time:111.59s | step:4010.84ms
step:13/1788 | loss 8.644260 | lr:0.00024375 | train_time:115.60s | step:4013.16ms
step:14/1788 | loss 8.454050 | lr:0.0002625 | train_time:119.62s | step:4012.51ms
step:15/1788 | loss 8.341997 | lr:0.00028125 | train_time:123.63s | step:4013.65ms
step:16/1788 | loss 8.209902 | lr:0.0003 | train_time:127.64s | step:4013.13ms
step:17/1788 | loss 8.083116 | lr:0.00031875 | train_time:131.66s | step:4012.73ms
step:18/1788 | loss 7.987174 | lr:0.0003375 | train_time:135.67s | step:4014.38ms
step:19/1788 | loss 7.889639 | lr:0.00035625 | train_time:139.69s | step:4015.11ms
step:20/1788 | loss 7.731781 | lr:0.000375 | train_time:143.70s | step:4014.78ms
step:21/1788 | loss 7.644209 | lr:0.00039375 | train_time:147.72s | step:4015.72ms
step:22/1788 | loss 7.625583 | lr:0.0004125 | train_time:151.73s | step:4016.76ms
step:23/1788 | loss 7.468045 | lr:0.00043125 | train_time:155.75s | step:4016.64ms
step:24/1788 | loss 7.482126 | lr:0.00045 | train_time:159.77s | step:4018.11ms
step:25/1788 | loss 7.384332 | lr:0.00046875 | train_time:163.79s | step:4018.74ms
step:26/1788 | loss 7.396531 | lr:0.0004875 | train_time:167.81s | step:4018.39ms
step:27/1788 | loss 7.374178 | lr:0.00050625 | train_time:171.83s | step:4020.68ms
step:28/1788 | loss 7.310325 | lr:0.000525 | train_time:175.85s | step:4022.31ms
step:29/1788 | loss 7.345118 | lr:0.00054375 | train_time:179.87s | step:4023.42ms
step:30/1788 | loss 7.331673 | lr:0.0005625 | train_time:183.90s | step:4023.48ms
step:31/1788 | loss 7.281431 | lr:0.00058125 | train_time:187.92s | step:4023.93ms
step:32/1788 | loss 7.164079 | lr:0.0006 | train_time:191.94s | step:4025.08ms
step:33/1788 | loss 7.190577 | lr:0.00061875 | train_time:195.97s | step:4026.42ms
