mode=proxy seed=1 output_dir=runs/baseline-20260718T074451Z/proxy-seed-1
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run e8cj8sf7
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_095153-e8cj8sf7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-1
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/e8cj8sf7
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-1 | seed: 1 | output: runs/baseline-20260718T074451Z/proxy-seed-1
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/1788 | val loss 11.022912
step:1/1788 | loss 11.024270 | lr:1.875e-05 | train_time:43.18s | step:43177.55ms
step:2/1788 | loss 10.649873 | lr:3.75e-05 | train_time:47.20s | step:4025.56ms
step:3/1788 | loss 10.193560 | lr:5.625e-05 | train_time:51.23s | step:4027.40ms
step:4/1788 | loss 9.866621 | lr:7.5e-05 | train_time:55.26s | step:4029.87ms
step:5/1788 | loss 9.674166 | lr:9.375e-05 | train_time:59.29s | step:4032.55ms
step:6/1788 | loss 9.513463 | lr:0.0001125 | train_time:63.33s | step:4033.55ms
step:7/1788 | loss 9.422727 | lr:0.00013125 | train_time:67.36s | step:4034.91ms
step:8/1788 | loss 9.267232 | lr:0.00015 | train_time:71.40s | step:4037.80ms
step:9/1788 | loss 9.228620 | lr:0.00016875 | train_time:75.44s | step:4037.98ms
step:10/1788 | loss 9.045599 | lr:0.0001875 | train_time:79.48s | step:4038.13ms
step:11/1788 | loss 8.938445 | lr:0.00020625 | train_time:83.51s | step:4038.96ms
step:12/1788 | loss 8.800953 | lr:0.000225 | train_time:87.55s | step:4038.28ms
step:13/1788 | loss 8.619140 | lr:0.00024375 | train_time:91.59s | step:4037.10ms
step:14/1788 | loss 8.440919 | lr:0.0002625 | train_time:95.63s | step:4039.19ms
step:15/1788 | loss 8.319014 | lr:0.00028125 | train_time:99.67s | step:4039.90ms
step:16/1788 | loss 8.175286 | lr:0.0003 | train_time:103.71s | step:4040.39ms
step:17/1788 | loss 8.086858 | lr:0.00031875 | train_time:107.75s | step:4039.13ms
step:18/1788 | loss 7.955264 | lr:0.0003375 | train_time:111.79s | step:4043.24ms
step:19/1788 | loss 7.899736 | lr:0.00035625 | train_time:115.84s | step:4051.50ms
step:20/1788 | loss 7.702132 | lr:0.000375 | train_time:119.90s | step:4052.48ms
step:21/1788 | loss 7.652773 | lr:0.00039375 | train_time:123.94s | step:4044.02ms
step:22/1788 | loss 7.622013 | lr:0.0004125 | train_time:127.99s | step:4051.55ms
step:23/1788 | loss 7.446967 | lr:0.00043125 | train_time:132.04s | step:4045.26ms
step:24/1788 | loss 7.486089 | lr:0.00045 | train_time:136.09s | step:4055.44ms
step:25/1788 | loss 7.369884 | lr:0.00046875 | train_time:140.15s | step:4056.72ms
step:26/1788 | loss 7.394096 | lr:0.0004875 | train_time:144.21s | step:4061.22ms
step:27/1788 | loss 7.371850 | lr:0.00050625 | train_time:148.27s | step:4061.83ms
step:28/1788 | loss 7.289760 | lr:0.000525 | train_time:152.33s | step:4063.35ms
step:29/1788 | loss 7.349760 | lr:0.00054375 | train_time:156.39s | step:4054.86ms
step:30/1788 | loss 7.342034 | lr:0.0005625 | train_time:160.44s | step:4048.96ms
step:31/1788 | loss 7.274786 | lr:0.00058125 | train_time:164.51s | step:4070.81ms
step:32/1788 | loss 7.179328 | lr:0.0006 | train_time:168.59s | step:4078.46ms
step:33/1788 | loss 7.206959 | lr:0.00061875 | train_time:172.65s | step:4060.86ms
step:34/1788 | loss 7.182918 | lr:0.0006375 | train_time:176.74s | step:4088.97ms
step:35/1788 | loss 7.227037 | lr:0.00065625 | train_time:180.81s | step:4069.17ms
step:36/1788 | loss 7.117012 | lr:0.000675 | train_time:184.89s | step:4082.86ms
step:37/1788 | loss 7.098593 | lr:0.00069375 | train_time:188.97s | step:4085.02ms
step:38/1788 | loss 7.025598 | lr:0.0007125 | train_time:193.03s | step:4053.42ms
step:39/1788 | loss 7.058529 | lr:0.00073125 | train_time:197.09s | step:4065.48ms
step:40/1788 | loss 6.983513 | lr:0.00075 | train_time:201.18s | step:4084.30ms
step:41/1788 | loss 6.964413 | lr:0.00076875 | train_time:205.26s | step:4083.01ms
step:42/1788 | loss 6.910593 | lr:0.0007875 | train_time:209.36s | step:4095.04ms
step:43/1788 | loss 6.951868 | lr:0.00080625 | train_time:213.44s | step:4088.87ms
step:44/1788 | loss 6.868517 | lr:0.000825 | train_time:217.54s | step:4090.52ms
step:45/1788 | loss 6.849901 | lr:0.00084375 | train_time:221.64s | step:4101.91ms
step:46/1788 | loss 6.841219 | lr:0.0008625 | train_time:225.73s | step:4096.68ms
step:47/1788 | loss 6.830701 | lr:0.00088125 | train_time:229.83s | step:4095.16ms
step:48/1788 | loss 6.824482 | lr:0.0009 | train_time:233.93s | step:4096.36ms
step:49/1788 | loss 6.760102 | lr:0.00091875 | train_time:238.02s | step:4098.28ms
step:50/1788 | loss 6.762126 | lr:0.0009375 | train_time:242.12s | step:4095.08ms
step:51/1788 | loss 6.697541 | lr:0.00095625 | train_time:246.23s | step:4114.70ms
step:52/1788 | loss 6.720037 | lr:0.000975 | train_time:250.32s | step:4089.28ms
step:53/1788 | loss 6.735546 | lr:0.00099375 | train_time:254.41s | step:4091.52ms
step:54/1788 | loss 6.700593 | lr:0.0010125 | train_time:258.51s | step:4099.68ms
step:55/1788 | loss 6.700742 | lr:0.00103125 | train_time:262.61s | step:4098.80ms
step:56/1788 | loss 6.633117 | lr:0.00105 | train_time:266.71s | step:4099.41ms
step:57/1788 | loss 6.605827 | lr:0.00106875 | train_time:270.81s | step:4100.32ms
step:58/1788 | loss 6.638530 | lr:0.0010875 | train_time:274.92s | step:4106.39ms
step:59/1788 | loss 6.575328 | lr:0.00110625 | train_time:279.03s | step:4111.05ms
step:60/1788 | loss 6.613214 | lr:0.001125 | train_time:283.12s | step:4090.15ms
step:61/1788 | loss 6.584152 | lr:0.00114375 | train_time:287.23s | step:4105.16ms
step:62/1788 | loss 6.554579 | lr:0.0011625 | train_time:291.32s | step:4091.24ms
step:63/1788 | loss 6.531432 | lr:0.00118125 | train_time:295.42s | step:4107.71ms
step:64/1788 | loss 6.606645 | lr:0.0012 | train_time:299.53s | step:4107.84ms
step:65/1788 | loss 6.486326 | lr:0.00121875 | train_time:303.65s | step:4114.79ms
step:66/1788 | loss 6.507011 | lr:0.0012375 | train_time:307.76s | step:4112.62ms
step:67/1788 | loss 6.516433 | lr:0.00125625 | train_time:311.88s | step:4116.43ms
step:68/1788 | loss 6.558165 | lr:0.001275 | train_time:315.99s | step:4115.27ms
step:69/1788 | loss 6.489316 | lr:0.00129375 | train_time:320.10s | step:4110.61ms
step:70/1788 | loss 6.472662 | lr:0.0013125 | train_time:324.21s | step:4108.51ms
step:71/1788 | loss 6.455748 | lr:0.00133125 | train_time:328.31s | step:4101.90ms
step:72/1788 | loss 6.506704 | lr:0.00135 | train_time:332.42s | step:4110.08ms
step:73/1788 | loss 6.688811 | lr:0.00136875 | train_time:336.53s | step:4109.68ms
step:74/1788 | loss 6.573362 | lr:0.0013875 | train_time:340.64s | step:4107.90ms
step:75/1788 | loss 6.551852 | lr:0.00140625 | train_time:344.76s | step:4116.27ms
step:76/1788 | loss 6.588282 | lr:0.001425 | train_time:348.87s | step:4116.67ms
step:77/1788 | loss 6.642362 | lr:0.00144375 | train_time:352.98s | step:4107.77ms
step:78/1788 | loss 6.626486 | lr:0.0014625 | train_time:357.10s | step:4119.05ms
step:79/1788 | loss 6.391775 | lr:0.00148125 | train_time:361.20s | step:4098.86ms
step:80/1788 | loss 6.513322 | lr:0.0015 | train_time:365.31s | step:4112.94ms
step:81/1788 | loss 6.501189 | lr:0.00151875 | train_time:369.43s | step:4121.02ms
step:82/1788 | loss 6.619214 | lr:0.0015375 | train_time:373.55s | step:4119.38ms
step:83/1788 | loss 6.557975 | lr:0.00155625 | train_time:377.68s | step:4124.29ms
step:84/1788 | loss 6.555414 | lr:0.001575 | train_time:381.79s | step:4116.07ms
step:85/1788 | loss 6.457675 | lr:0.00159375 | train_time:385.90s | step:4104.34ms
step:86/1788 | loss 6.452700 | lr:0.0016125 | train_time:390.01s | step:4113.94ms
step:87/1788 | loss 6.407072 | lr:0.00163125 | train_time:394.13s | step:4116.88ms
step:88/1788 | loss 6.403098 | lr:0.00165 | train_time:398.25s | step:4117.64ms
step:89/1788 | loss 6.384343 | lr:0.00166875 | train_time:402.36s | step:4111.34ms
step:90/1788 | loss 6.344790 | lr:0.0016875 | train_time:406.48s | step:4120.38ms
step:91/1788 | loss 6.387332 | lr:0.00170625 | train_time:410.59s | step:4113.34ms
step:92/1788 | loss 6.378649 | lr:0.001725 | train_time:414.71s | step:4115.70ms
step:93/1788 | loss 6.384605 | lr:0.00174375 | train_time:418.82s | step:4118.50ms
step:94/1788 | loss 6.339882 | lr:0.0017625 | train_time:422.95s | step:4124.72ms
step:95/1788 | loss 6.299375 | lr:0.00178125 | train_time:427.07s | step:4121.43ms
step:96/1788 | loss 6.229033 | lr:0.0018 | train_time:431.18s | step:4106.09ms
step:97/1788 | loss 6.327063 | lr:0.0018 | train_time:435.30s | step:4119.50ms
step:98/1788 | loss 6.271837 | lr:0.0018 | train_time:439.41s | step:4118.70ms
step:99/1788 | loss 6.247915 | lr:0.0018 | train_time:443.53s | step:4117.08ms
step:100/1788 | loss 6.204771 | lr:0.0018 | train_time:447.65s | step:4122.29ms
step:101/1788 | loss 6.208649 | lr:0.0018 | train_time:451.77s | step:4117.59ms
step:102/1788 | loss 6.155389 | lr:0.0018 | train_time:455.89s | step:4119.69ms
step:103/1788 | loss 6.164604 | lr:0.0018 | train_time:460.02s | step:4125.44ms
step:104/1788 | loss 6.174828 | lr:0.0018 | train_time:464.14s | step:4121.27ms
step:105/1788 | loss 6.173428 | lr:0.0018 | train_time:468.26s | step:4124.14ms
step:106/1788 | loss 6.226836 | lr:0.0018 | train_time:472.38s | step:4116.36ms
step:107/1788 | loss 6.175913 | lr:0.0018 | train_time:476.51s | step:4132.02ms
step:108/1788 | loss 6.105328 | lr:0.0018 | train_time:480.63s | step:4121.55ms
step:109/1788 | loss 6.145500 | lr:0.0018 | train_time:484.75s | step:4121.47ms
step:110/1788 | loss 6.171342 | lr:0.0018 | train_time:488.89s | step:4132.52ms
step:111/1788 | loss 6.095153 | lr:0.0018 | train_time:493.01s | step:4126.92ms
step:112/1788 | loss 6.116009 | lr:0.0018 | train_time:497.13s | step:4117.54ms
step:113/1788 | loss 6.122256 | lr:0.0018 | train_time:501.25s | step:4123.89ms
step:114/1788 | loss 6.088085 | lr:0.0018 | train_time:505.38s | step:4121.91ms
step:115/1788 | loss 6.131666 | lr:0.0018 | train_time:509.50s | step:4122.17ms
step:116/1788 | loss 6.080646 | lr:0.0018 | train_time:513.62s | step:4118.99ms
step:117/1788 | loss 6.050603 | lr:0.0018 | train_time:517.74s | step:4124.68ms
step:118/1788 | loss 6.002065 | lr:0.0018 | train_time:521.87s | step:4128.33ms
step:119/1788 | loss 6.040638 | lr:0.0018 | train_time:526.00s | step:4134.38ms
step:120/1788 | loss 5.990003 | lr:0.0018 | train_time:530.13s | step:4120.09ms
step:121/1788 | loss 6.005883 | lr:0.0018 | train_time:534.26s | step:4130.47ms
step:122/1788 | loss 5.935553 | lr:0.0018 | train_time:538.38s | step:4122.38ms
step:123/1788 | loss 6.022558 | lr:0.0018 | train_time:542.51s | step:4129.99ms
step:124/1788 | loss 5.951283 | lr:0.0018 | train_time:546.63s | step:4123.57ms
step:125/1788 | loss 5.932406 | lr:0.0018 | train_time:550.76s | step:4126.15ms
step:126/1788 | loss 5.901684 | lr:0.0018 | train_time:554.89s | step:4129.23ms
step:127/1788 | loss 6.002864 | lr:0.0018 | train_time:559.01s | step:4122.56ms
step:128/1788 | loss 5.914628 | lr:0.0018 | train_time:563.15s | step:4140.47ms
step:128/1788 | val loss 5.951132
step:129/1788 | loss 5.963495 | lr:0.0018 | train_time:567.27s | step:4123.32ms
step:130/1788 | loss 5.919479 | lr:0.0018 | train_time:571.38s | step:4110.31ms
step:131/1788 | loss 5.941419 | lr:0.0018 | train_time:575.49s | step:4108.91ms
step:132/1788 | loss 5.897964 | lr:0.0018 | train_time:579.61s | step:4115.20ms
step:133/1788 | loss 5.858685 | lr:0.0018 | train_time:583.73s | step:4120.74ms
step:134/1788 | loss 5.905039 | lr:0.0018 | train_time:587.84s | step:4113.96ms
step:135/1788 | loss 5.902837 | lr:0.0018 | train_time:591.95s | step:4112.45ms
step:136/1788 | loss 5.793803 | lr:0.0018 | train_time:596.07s | step:4116.20ms
step:137/1788 | loss 5.848311 | lr:0.0018 | train_time:600.19s | step:4116.41ms
step:138/1788 | loss 5.854875 | lr:0.0018 | train_time:604.31s | step:4123.64ms
step:139/1788 | loss 5.797261 | lr:0.0018 | train_time:608.45s | step:4134.58ms
step:140/1788 | loss 5.849426 | lr:0.0018 | train_time:612.58s | step:4129.71ms
step:141/1788 | loss 5.765491 | lr:0.0018 | train_time:616.70s | step:4127.15ms
step:142/1788 | loss 5.864249 | lr:0.0018 | train_time:620.84s | step:4141.09ms
step:143/1788 | loss 5.816887 | lr:0.0018 | train_time:624.98s | step:4131.86ms
step:144/1788 | loss 5.818531 | lr:0.0018 | train_time:629.10s | step:4120.06ms
step:145/1788 | loss 5.779724 | lr:0.0018 | train_time:633.22s | step:4122.16ms
step:146/1788 | loss 5.720427 | lr:0.0018 | train_time:637.34s | step:4125.22ms
step:147/1788 | loss 5.751587 | lr:0.0018 | train_time:641.46s | step:4118.03ms
step:148/1788 | loss 5.795824 | lr:0.0018 | train_time:645.58s | step:4116.11ms
step:149/1788 | loss 5.818856 | lr:0.0018 | train_time:649.70s | step:4121.51ms
step:150/1788 | loss 5.766515 | lr:0.0018 | train_time:653.82s | step:4123.91ms
step:151/1788 | loss 5.754583 | lr:0.0018 | train_time:657.94s | step:4119.67ms
step:152/1788 | loss 5.687201 | lr:0.0018 | train_time:662.07s | step:4125.74ms
step:153/1788 | loss 5.716964 | lr:0.0018 | train_time:666.19s | step:4123.14ms
step:154/1788 | loss 5.689042 | lr:0.0018 | train_time:670.31s | step:4122.95ms
step:155/1788 | loss 5.748181 | lr:0.0018 | train_time:674.44s | step:4123.68ms
step:156/1788 | loss 5.731643 | lr:0.0018 | train_time:678.56s | step:4124.28ms
step:157/1788 | loss 5.743295 | lr:0.0018 | train_time:682.68s | step:4119.64ms
step:158/1788 | loss 5.650545 | lr:0.0018 | train_time:686.81s | step:4126.28ms
step:159/1788 | loss 5.635196 | lr:0.0018 | train_time:690.93s | step:4125.45ms
step:160/1788 | loss 5.648538 | lr:0.0018 | train_time:695.06s | step:4121.86ms
step:161/1788 | loss 5.639011 | lr:0.0018 | train_time:699.17s | step:4119.18ms
step:162/1788 | loss 5.632960 | lr:0.0018 | train_time:703.29s | step:4119.93ms
step:163/1788 | loss 5.610921 | lr:0.0018 | train_time:707.42s | step:4125.23ms
step:164/1788 | loss 5.663929 | lr:0.0018 | train_time:711.54s | step:4118.81ms
step:165/1788 | loss 5.613937 | lr:0.0018 | train_time:715.66s | step:4124.80ms
step:166/1788 | loss 5.647004 | lr:0.0018 | train_time:719.79s | step:4124.44ms
step:167/1788 | loss 5.587969 | lr:0.0018 | train_time:723.91s | step:4123.78ms
step:168/1788 | loss 5.600908 | lr:0.0018 | train_time:728.03s | step:4121.51ms
step:169/1788 | loss 5.553432 | lr:0.0018 | train_time:732.15s | step:4112.79ms
step:170/1788 | loss 5.524671 | lr:0.0018 | train_time:736.28s | step:4135.33ms
step:171/1788 | loss 5.507236 | lr:0.0018 | train_time:740.40s | step:4115.72ms
step:172/1788 | loss 5.635110 | lr:0.0018 | train_time:744.53s | step:4133.40ms
step:173/1788 | loss 5.536420 | lr:0.0018 | train_time:748.65s | step:4124.50ms
step:174/1788 | loss 5.619346 | lr:0.0018 | train_time:752.79s | step:4134.61ms
step:175/1788 | loss 5.644393 | lr:0.0018 | train_time:756.92s | step:4130.21ms
step:176/1788 | loss 5.606913 | lr:0.0018 | train_time:761.04s | step:4121.29ms
step:177/1788 | loss 5.554545 | lr:0.0018 | train_time:765.16s | step:4118.05ms
step:178/1788 | loss 5.578793 | lr:0.0018 | train_time:769.27s | step:4112.11ms
step:179/1788 | loss 5.584272 | lr:0.0018 | train_time:773.39s | step:4123.50ms
step:180/1788 | loss 5.513647 | lr:0.0018 | train_time:777.52s | step:4129.19ms
step:181/1788 | loss 5.471663 | lr:0.0018 | train_time:781.65s | step:4124.12ms
step:182/1788 | loss 5.532360 | lr:0.0018 | train_time:785.77s | step:4123.64ms
step:183/1788 | loss 5.451159 | lr:0.0018 | train_time:789.89s | step:4122.40ms
step:184/1788 | loss 5.543681 | lr:0.0018 | train_time:794.02s | step:4127.89ms
step:185/1788 | loss 5.491510 | lr:0.0018 | train_time:798.15s | step:4132.63ms
step:186/1788 | loss 5.439531 | lr:0.0018 | train_time:802.29s | step:4135.48ms
step:187/1788 | loss 5.564095 | lr:0.0018 | train_time:806.40s | step:4115.04ms
step:188/1788 | loss 5.514913 | lr:0.0018 | train_time:810.52s | step:4115.15ms
step:189/1788 | loss 5.359991 | lr:0.0018 | train_time:814.64s | step:4123.93ms
step:190/1788 | loss 5.484328 | lr:0.0018 | train_time:818.76s | step:4120.77ms
