mode=proxy seed=2 output_dir=runs/baseline-20260718T074451Z/proxy-seed-2
Running pytorch 2.11.0+cu128
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: m-obukhov (m-obukhov-home) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mxrhbgp8
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /workspace/NoCap-Test/wandb/run-20260718_115912-mxrhbgp8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run proxy-seed-2
wandb: ⭐️ View project at https://wandb.ai/m-obukhov-home/nocap-baseline
wandb: 🚀 View run at https://wandb.ai/m-obukhov-home/nocap-baseline/runs/mxrhbgp8
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
wandb: WARNING Symlinked 1 file into the W&B run directory; call wandb.save again to sync new files.
using device: cuda:0 (NVIDIA GeForce RTX 4090)
run: proxy-seed-2 | seed: 2 | output: runs/baseline-20260718T074451Z/proxy-seed-2
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/1788 | val loss 11.020944
step:1/1788 | loss 11.023019 | lr:1.875e-05 | train_time:42.37s | step:42371.34ms
step:2/1788 | loss 10.657886 | lr:3.75e-05 | train_time:46.46s | step:4088.13ms
step:3/1788 | loss 10.212016 | lr:5.625e-05 | train_time:50.51s | step:4049.12ms
step:4/1788 | loss 9.875941 | lr:7.5e-05 | train_time:54.57s | step:4065.14ms
step:5/1788 | loss 9.673367 | lr:9.375e-05 | train_time:58.63s | step:4059.90ms
step:6/1788 | loss 9.510441 | lr:0.0001125 | train_time:62.71s | step:4072.84ms
step:7/1788 | loss 9.426083 | lr:0.00013125 | train_time:66.78s | step:4076.27ms
step:8/1788 | loss 9.263307 | lr:0.00015 | train_time:70.87s | step:4091.36ms
step:9/1788 | loss 9.217216 | lr:0.00016875 | train_time:74.96s | step:4088.47ms
step:10/1788 | loss 9.036471 | lr:0.0001875 | train_time:79.06s | step:4096.44ms
step:11/1788 | loss 8.934112 | lr:0.00020625 | train_time:83.16s | step:4097.94ms
step:12/1788 | loss 8.800667 | lr:0.000225 | train_time:87.26s | step:4107.05ms
step:13/1788 | loss 8.625429 | lr:0.00024375 | train_time:91.38s | step:4120.03ms
step:14/1788 | loss 8.441665 | lr:0.0002625 | train_time:95.49s | step:4107.43ms
step:15/1788 | loss 8.323936 | lr:0.00028125 | train_time:99.61s | step:4121.48ms
step:16/1788 | loss 8.176458 | lr:0.0003 | train_time:103.73s | step:4120.55ms
step:17/1788 | loss 8.079079 | lr:0.00031875 | train_time:107.86s | step:4123.46ms
step:18/1788 | loss 7.964549 | lr:0.0003375 | train_time:111.98s | step:4125.89ms
step:19/1788 | loss 7.878573 | lr:0.00035625 | train_time:116.11s | step:4127.78ms
step:20/1788 | loss 7.704307 | lr:0.000375 | train_time:120.24s | step:4125.02ms
step:21/1788 | loss 7.651451 | lr:0.00039375 | train_time:124.36s | step:4128.11ms
step:22/1788 | loss 7.623558 | lr:0.0004125 | train_time:128.50s | step:4136.62ms
